81E2	U+81DC
81E8	U+4E34
81FA	U+53F0
8207	U+4E0E
8208	U+5174
8209	U+4E3E
820A	U+65E7
8259	U+8231
8264	U+8223
8266	U+8230
826B	U+823B
8271	U+8270
8277	U+8273
82BB	U+520D
82E7	U+82CE
8332	U+5179
834A	U+8346
838A	U+5E84
8396	U+830E
83A2	U+835A
83A7	U+82CB
83EF	U+534E
8407	U+82CC
840A	U+83B1
842C	U+4E07
8435	U+83B4
8449	U+53F6
8452	U+836D
8457	U+7740
8464	U+836E
8466	U+82C7
846F	U+836F
8477	U+8364
8493	U+83BC
8494	U+83B3
849E	U+8385
84BC	U+82CD
84C0	U+836A
84CB	U+76D6
84EE	U+83B2
84EF	U+82C1
84F4	U+83BC
84FD	U+835C
8514	U+535C
851E	U+848C
8523	U+848B
8525	U+8471
8526	U+8311
852D	U+836B
8541	U+8368
8546	U+8487
854E	U+835E
8552	U+836C
8553	U+82B8
8555	U+83B8
8558	U+835B
8562	U+8489
8569	U+8361
856A	U+829C
856D	U+8427
8577	U+84E3
8580	U+8570
8588	U+835F
858A	U+84DF
858C	U+8297
8594	U+8537
8598	U+8359
859F	U+83B6
85A6	U+8350
85A9	U+8428
85B3	U+44D5
85B4	U+82E7
85BA	U+8360
85CD	U+84DD
85CE	U+8369
85DD	U+827A
85E5	U+836F
85EA	U+85AE
85F4	U+8574
85F6	U+82C8
85F9	U+853C
85FA	U+853A
8604	U+8572
8606	U+82A6
8607	U+82CF
860A	U+8574
860B	U+82F9
861A	U+85D3
861E	U+8539
8622	U+830F
862D	U+5170
863A	U+84E0
863F	U+841D
8646	U+8502
8655	U+5904
865B	U+865A
865C	U+864F
865F	U+53F7
8667	U+4E8F
866F	U+866C
86FA	U+86F1
86FB	U+8715
8706	U+86AC
8721	U+8721
8755	U+8680
875F	U+732C
8766	U+867E
8778	U+8717
8784	U+86F3
879E	U+8682
87A2	U+8424
87AE	U+45D6
87BB	U+877C
87BF	U+8780
87C4	U+86F0
87C8	U+8748
87CE	U+87A8
87E3	U+866E
87EC	U+8749
87EF	U+86F2
87F2	U+866B
87F6	U+86CF
87FB	U+8681
8805	U+8747
8806	U+867F
8810	U+86F4
8811	U+877E
881F	U+8721
8823	U+86CE
8828	U+87CF
8831	U+86CA
8836	U+8695
883B	U+86EE
8846	U+4F17
8853	U+672F
8855	U+540C
885A	U+80E1
885B	U+536B
885D	U+51B2
8879	U+53EA
889E	U+886E
88CA	U+8885
88CF	U+91CC
88DC	U+8865
88DD	U+88C5
