7F42	U+7F4C
7F51	U+7DB2
7F57	U+7F85
7F5A	U+7F70
7F62	U+7F77
7F74	U+7F86
7F81	U+7F88
7F9F	U+7FA5
7FD8	U+7FF9
8022	U+802E
8027	U+802C
8038	U+8073
803B	U+6065
8042	U+8076
804B	U+807E
804C	U+8077
804D	U+8079
8054	U+806F
8069	U+8075
806A	U+8070
8083	U+8085
80A0	U+8178
80A4	U+819A
80AE	U+9AAF
80B4	U+991A
80BE	U+814E
80BF	U+816B
80C0	U+8139
80C1	U+8105
80C6	U+81BD
80DC	U+52DD
80E1	U+885A U+9B0D
80E7	U+6727
80E8	U+8156
80EA	U+81DA
80EB	U+811B
80F6	U+81A0
8109	U+8108
810D	U+81BE
810F	U+81DF U+9AD2
8110	U+81CD
8111	U+8166
8113	U+81BF
8114	U+81E0
811A	U+8173
8131	U+812B
8136	U+8161
8138	U+81C9
814A	U+81D8
816D	U+9F76
817B	U+81A9
817C	U+9766
817D	U+8183
817E	U+9A30
8191	U+81CF
81DC	U+81E2
81F4	U+7DFB
8206	U+8F3F
820D	U+6368
8223	U+8264
8230	U+8266
8231	U+8259
823B	U+826B
8270	U+8271
8273	U+8277
827A	U+85DD
8282	U+7BC0
8288	U+7F8B
8297	U+858C
829C	U+856A
82A6	U+8606
82B8	U+8553
82C1	U+84EF
82C7	U+8466
82C8	U+85F6
82CB	U+83A7
82CC	U+8407
82CD	U+84BC
82CE	U+82E7
82CF	U+8607
82E7	U+85B4
82F9	U+860B
8303	U+7BC4
830E	U+8396
830F	U+8622
8311	U+8526
8314	U+584B
8315	U+7162
8327	U+7E6D
8346	U+834A
8350	U+85A6
8359	U+8598
835A	U+83A2
835B	U+8558
835C	U+84FD
835E	U+854E
835F	U+8588
8360	U+85BA
8361	U+76EA U+8569
8363	U+69AE
8364	U+8477
8365	U+6ECE
8366	U+7296
8367	U+7192
8368	U+8541
8369	U+85CE
836A	U+84C0
836B	U+852D
836C	U+8552
836D	U+8452
836E	U+8464
836F	U+846F U+85E5
8385	U+849E
83B1	U+840A
83B2	U+84EE
83B3	U+8494
83B4	U+8435
83B6	U+859F
83B7	U+7372 U+7A6B
83B8	U+8555
83B9	U+7469
83BA	U+9DAF
83BC	U+8493 U+84F4
841D	U+863F
8424	U+87A2
8425	U+71DF
8426	U+7E08
8427	U+856D
8428	U+85A9
8471	U+8525
8487	U+8546
8489	U+8562
848B	U+8523
848C	U+851E
84DD	U+85CD
84DF	U+858A
84E0	U+863A
